City,Borough,Year,RentPrice
All Midtown,Manhattan,2011,3350
All Midtown,Manhattan,2011,3375
All Midtown,Manhattan,2011,3395
All Midtown,Manhattan,2011,3350
All Midtown,Manhattan,2012,3300
All Midtown,Manhattan,2012,3250
All Midtown,Manhattan,2012,3250
All Midtown,Manhattan,2012,3320
All Midtown,Manhattan,2012,3395
All Midtown,Manhattan,2012,3395
All Midtown,Manhattan,2012,3395
All Midtown,Manhattan,2012,3400
All Midtown,Manhattan,2012,3400
All Midtown,Manhattan,2012,3400
All Midtown,Manhattan,2012,3440
All Midtown,Manhattan,2012,3450
All Midtown,Manhattan,2013,3400
All Midtown,Manhattan,2013,3400
All Midtown,Manhattan,2013,3400
All Midtown,Manhattan,2013,3390
All Midtown,Manhattan,2013,3350
All Midtown,Manhattan,2013,3395
All Midtown,Manhattan,2013,3350
All Midtown,Manhattan,2013,3395
All Midtown,Manhattan,2013,3400
All Midtown,Manhattan,2013,3400
All Midtown,Manhattan,2013,3395
All Midtown,Manhattan,2013,3400
All Midtown,Manhattan,2014,3350
All Midtown,Manhattan,2014,3392
All Midtown,Manhattan,2014,3395
All Midtown,Manhattan,2014,3400
All Midtown,Manhattan,2014,3450
All Midtown,Manhattan,2014,3450
All Midtown,Manhattan,2014,3400
All Midtown,Manhattan,2014,3400
All Midtown,Manhattan,2014,3400
All Midtown,Manhattan,2014,3450
All Midtown,Manhattan,2014,3495
All Midtown,Manhattan,2014,3500
All Midtown,Manhattan,2015,3500
All Midtown,Manhattan,2015,3500
All Midtown,Manhattan,2015,3500
All Midtown,Manhattan,2015,3500
All Midtown,Manhattan,2015,3549
All Midtown,Manhattan,2015,3524
All Midtown,Manhattan,2015,3510
All Midtown,Manhattan,2015,3500
All Midtown,Manhattan,2015,3555
All Midtown,Manhattan,2015,3500
All Midtown,Manhattan,2015,3500
All Midtown,Manhattan,2015,3500
All Midtown,Manhattan,2016,3495
All Midtown,Manhattan,2016,3500
All Midtown,Manhattan,2016,3500
All Midtown,Manhattan,2016,3550
All Midtown,Manhattan,2016,3573
All Midtown,Manhattan,2016,3500
All Midtown,Manhattan,2016,3525
All Midtown,Manhattan,2016,3500
All Midtown,Manhattan,2016,3545
All Midtown,Manhattan,2016,3500
All Midtown,Manhattan,2016,3500
All Midtown,Manhattan,2016,3500
All Midtown,Manhattan,2017,3470
All Midtown,Manhattan,2017,3495
All Midtown,Manhattan,2017,3464
All Midtown,Manhattan,2017,3500
All Midtown,Manhattan,2017,3500
All Midtown,Manhattan,2017,3528
All Midtown,Manhattan,2017,3500
All Midtown,Manhattan,2017,3500
All Midtown,Manhattan,2017,3500
All Midtown,Manhattan,2017,3500
All Midtown,Manhattan,2017,3350
All Midtown,Manhattan,2017,3350
All Midtown,Manhattan,2018,3375
All Midtown,Manhattan,2018,3395
All Midtown,Manhattan,2018,3390
All Midtown,Manhattan,2018,3450
All Midtown,Manhattan,2018,3500
All Midtown,Manhattan,2018,3500
All Midtown,Manhattan,2018,3500
All Midtown,Manhattan,2018,3500
All Midtown,Manhattan,2018,3500
All Midtown,Manhattan,2018,3520
All Midtown,Manhattan,2018,3500
All Midtown,Manhattan,2018,3550
All Midtown,Manhattan,2019,3500
All Midtown,Manhattan,2019,3550
All Midtown,Manhattan,2019,3530
All Midtown,Manhattan,2019,3575
All Midtown,Manhattan,2019,3615
All Midtown,Manhattan,2019,3675
All Midtown,Manhattan,2019,3700
All Midtown,Manhattan,2019,3700
All Midtown,Manhattan,2019,3700
All Midtown,Manhattan,2019,3685
All Midtown,Manhattan,2019,3713
All Midtown,Manhattan,2019,3700
All Midtown,Manhattan,2020,3700
All Midtown,Manhattan,2020,3700
All Midtown,Manhattan,2020,3695
All Midtown,Manhattan,2020,3554
All Midtown,Manhattan,2020,3377
All Midtown,Manhattan,2020,3241
All Midtown,Manhattan,2020,3100
All Midtown,Manhattan,2020,3000
All Midtown,Manhattan,2020,2970
All Midtown,Manhattan,2020,2900
All Midtown,Manhattan,2020,2895
All Midtown,Manhattan,2020,2895
All Midtown,Manhattan,2021,2900
All Midtown,Manhattan,2021,2922
All Midtown,Manhattan,2021,2990
All Midtown,Manhattan,2021,3000
All Midtown,Manhattan,2021,3150
All Midtown,Manhattan,2021,3250
All Midtown,Manhattan,2021,3495
All Midtown,Manhattan,2021,3600
All Midtown,Manhattan,2021,3850
All Midtown,Manhattan,2021,3950
All Midtown,Manhattan,2021,4062
All Midtown,Manhattan,2021,4128
All Midtown,Manhattan,2022,4303
All Midtown,Manhattan,2022,4345
All Midtown,Manhattan,2022,4300
All Midtown,Manhattan,2022,4398
All Midtown,Manhattan,2022,4400
All Midtown,Manhattan,2022,4395
All Midtown,Manhattan,2022,4450
All Midtown,Manhattan,2022,4275
All Midtown,Manhattan,2022,4300
All Midtown,Manhattan,2022,4250
All Midtown,Manhattan,2022,4250
All Midtown,Manhattan,2022,4300
All Upper East Side,Manhattan,2010,2450
All Upper East Side,Manhattan,2010,2450
All Upper East Side,Manhattan,2010,2400
All Upper East Side,Manhattan,2010,2500
All Upper East Side,Manhattan,2010,2550
All Upper East Side,Manhattan,2010,2550
All Upper East Side,Manhattan,2010,2595
All Upper East Side,Manhattan,2010,2500
All Upper East Side,Manhattan,2010,2580
All Upper East Side,Manhattan,2010,2550
All Upper East Side,Manhattan,2010,2500
All Upper East Side,Manhattan,2010,2550
All Upper East Side,Manhattan,2011,2500
All Upper East Side,Manhattan,2011,2500
All Upper East Side,Manhattan,2011,2450
All Upper East Side,Manhattan,2011,2500
All Upper East Side,Manhattan,2011,2600
All Upper East Side,Manhattan,2011,2695
All Upper East Side,Manhattan,2011,2650
All Upper East Side,Manhattan,2011,2695
All Upper East Side,Manhattan,2011,2795
All Upper East Side,Manhattan,2011,2800
All Upper East Side,Manhattan,2011,2800
All Upper East Side,Manhattan,2011,2800
All Upper East Side,Manhattan,2012,2700
All Upper East Side,Manhattan,2012,2700
All Upper East Side,Manhattan,2012,2695
All Upper East Side,Manhattan,2012,2695
All Upper East Side,Manhattan,2012,2695
All Upper East Side,Manhattan,2012,2750
All Upper East Side,Manhattan,2012,2700
All Upper East Side,Manhattan,2012,2750
All Upper East Side,Manhattan,2012,2850
All Upper East Side,Manhattan,2012,2795
All Upper East Side,Manhattan,2012,2850
All Upper East Side,Manhattan,2012,2850
