State,Month,DeathToll
Kentucky,Feb-20,0
Kentucky,Mar-20,70
Kentucky,Apr-20,3644
Kentucky,May-20,10410
Kentucky,Jun-20,15175
Kentucky,Jul-20,20155
Kentucky,Aug-20,25618
Kentucky,Sep-20,32160
Kentucky,Oct-20,40779
Kentucky,Nov-20,50538
Kentucky,Dec-20,71020
Louisiana,Jan-20,0
Louisiana,Feb-20,0
Louisiana,Mar-20,1129
Louisiana,Apr-20,32867
Louisiana,May-20,75730
Louisiana,Jun-20,91075
Louisiana,Jul-20,109304
Louisiana,Aug-20,139101
Louisiana,Sep-20,157941
Louisiana,Oct-20,177422
Louisiana,Nov-20,184804
Louisiana,Dec-20,215113
Maine,Jan-20,0
Maine,Feb-20,0
Maine,Mar-20,651
Maine,Apr-20,50046
Maine,May-20,170827
Maine,Jun-20,228988
Maine,Jul-20,259483
Maine,Aug-20,273835
Maine,Sep-20,277353
Maine,Oct-20,300917
Maine,Nov-20,310382
Maine,Dec-20,357261
Maryland,Jan-20,0
Maryland,Feb-20,0
Maryland,Mar-20,168
Maryland,Apr-20,15954
Maryland,May-20,61681
Maryland,Jun-20,88191
Maryland,Jul-20,103834
Maryland,Aug-20,112721
Maryland,Sep-20,115669
Maryland,Oct-20,125065
Maryland,Nov-20,130307
Maryland,Dec-20,163321
Massachusetts,Jan-20,0
Massachusetts,Feb-20,0
Massachusetts,Mar-20,13
Massachusetts,Apr-20,843
Massachusetts,May-20,2180
Massachusetts,Jun-20,3010
Massachusetts,Jul-20,3546
Massachusetts,Aug-20,3951
Massachusetts,Sep-20,4108
Massachusetts,Oct-20,4474
Massachusetts,Nov-20,5020
Massachusetts,Dec-20,8509
Michigan,Jan-20,0
Michigan,Feb-20,0
Michigan,Mar-20,2342
Michigan,Apr-20,79759
Michigan,May-20,164087
Michigan,Jun-20,180742
Michigan,Jul-20,196267
Michigan,Aug-20,204360
Michigan,Sep-20,207847
Michigan,Oct-20,227677
Michigan,Nov-20,255029
Michigan,Dec-20,357468
Minnesota,Jan-20,0
Minnesota,Feb-20,0
Minnesota,Mar-20,47
Minnesota,Apr-20,3818
Minnesota,May-20,21869
Minnesota,Jun-20,39472
Minnesota,Jul-20,48459
Minnesota,Aug-20,54441
Minnesota,Sep-20,59400
